episode,step,cluster_id,selected_uav_id,selected_uav_rate_bps,match,success_probability
4,0,2,8,65985867.75953543,1,1.0
4,0,3,11,71213063.85211276,1,1.0
4,1,0,2,59496126.48520062,1,1.0
4,1,1,3,88000278.94563499,1,1.0
4,1,2,8,75090387.33078076,1,1.0
4,1,3,10,94250731.16947566,1,1.0
4,2,0,0,77846949.33547896,1,1.0
4,2,1,3,67461723.71979046,1,1.0
4,2,2,8,60135633.0064665,1,1.0
4,2,3,9,63812003.81008727,1,1.0
4,3,0,2,85619198.61151433,1,1.0
4,3,1,3,81076993.88587506,1,1.0
4,3,2,8,76668341.43173878,1,1.0
4,3,3,10,82328188.71011458,1,1.0
4,4,0,2,116862388.03265293,1,1.0
4,4,1,4,70584369.67375231,1,1.0
4,4,2,6,65280303.218720086,1,1.0
4,4,3,10,76729914.18468711,1,1.0
4,5,0,0,74050312.01309285,1,1.0
4,5,1,3,101894457.39273691,1,1.0
4,5,2,8,76503506.4858287,1,1.0
4,5,3,10,68185040.75184894,1,1.0
4,6,0,2,70523866.24016985,1,1.0
4,6,1,3,139423273.85311598,1,1.0
4,6,2,7,57268356.72511079,1,1.0
4,6,3,9,62109538.30996416,1,1.0
4,7,0,0,56829933.82550696,1,1.0
4,7,1,4,67983530.71789134,1,1.0
4,7,2,8,94438439.64670065,1,1.0
4,7,3,10,82911417.42517674,1,1.0
4,8,0,2,68674868.34570366,1,1.0
4,8,1,3,58086881.53555278,1,1.0
4,8,2,8,71196322.7073636,1,1.0
4,8,3,10,81054878.28574601,1,1.0
4,9,0,0,74810577.66964382,1,1.0
4,9,1,3,82565797.29609835,1,1.0
4,9,2,7,56228450.823134914,1,1.0
4,9,3,10,80256557.35527644,1,1.0
4,10,0,2,77097959.2745464,1,1.0
4,10,1,3,69877985.43375869,1,1.0
4,10,2,6,113454650.90864378,1,1.0
4,10,3,10,93426752.4031153,1,1.0
4,11,0,2,77740723.76679385,1,1.0
4,11,1,3,73770988.56010506,1,1.0
4,11,2,7,80047979.55752249,1,1.0
4,11,3,10,71517044.60216014,1,1.0
4,12,0,1,59652776.71614685,1,1.0
4,12,1,4,92463066.44599478,1,1.0
4,12,2,7,105856291.59418896,1,1.0
4,12,3,10,110764931.68404979,1,1.0
4,13,0,1,66462481.840126865,1,1.0
4,13,1,4,66816446.241218336,1,1.0
4,13,2,8,64536656.96406697,1,1.0
4,13,3,10,74805114.60751906,1,1.0
4,14,0,0,58212064.84150082,1,1.0
4,14,1,3,66503454.58954394,1,1.0
4,14,2,8,78495563.68133439,1,1.0
4,14,3,10,104300326.64042446,1,1.0
4,15,0,2,77868897.59863381,1,1.0
4,15,1,5,68900032.32860875,1,1.0
4,15,2,6,65653542.18664281,1,1.0
4,15,3,10,77884203.4541066,1,1.0
4,16,0,0,73462354.42133242,1,1.0
4,16,1,4,67493215.60546508,1,1.0
4,16,2,6,58475837.116918996,1,1.0
4,16,3,10,83915150.07541902,1,1.0
4,17,0,2,89191005.76033376,1,1.0
4,17,1,4,121695212.40554129,1,1.0
4,17,2,8,80876417.16908027,1,1.0
4,17,3,10,155348331.28201872,1,1.0
4,18,0,2,73691957.61187911,1,1.0
4,18,1,4,64496505.7589616,1,1.0
4,18,2,7,82164194.81860897,1,1.0
4,18,3,10,120498045.95728308,1,1.0
4,19,0,2,80650946.11242026,1,1.0
4,19,1,3,87679891.22351184,1,1.0
4,19,2,8,67200881.46321152,1,1.0
4,19,3,10,71073257.73282643,1,1.0
4,20,0,1,88641513.28524898,1,1.0
4,20,1,3,84090391.7955756,1,1.0
4,20,2,7,58061010.767327204,1,1.0
4,20,3,10,79207376.43210894,1,1.0
