episode,step,veh_id,T_tot_ms,deadline_ms,violation
1,9,12,104.302354649531,250,0
1,9,13,18.6934476491096,250,0
1,9,14,10.8180877765933,250,0
1,9,15,12.7738273575647,250,0
1,10,0,10.9745207021758,250,0
1,10,1,84.5297299307097,250,0
1,10,2,29.4214011312111,250,0
1,10,3,1.55297655346632,250,0
1,10,4,66.5662397355039,250,0
1,10,5,38.9886816234623,250,0
1,10,6,10.2049929789624,250,0
1,10,7,34.0610535460425,250,0
1,10,8,0.115133879644021,250,0
1,10,9,8.11915268774624,250,0
1,10,10,228.148822107236,250,0
1,10,11,9.07889770695223,250,0
1,10,12,4.80696205604315,250,0
1,10,13,21.1047857910003,250,0
1,10,14,46.2151927297883,250,0
1,10,15,6.74660549611619,250,0
1,11,0,12.833285445682,250,0
1,11,1,24.3039342253911,250,0
1,11,2,12.6927650940583,250,0
1,11,3,19.396657665815,250,0
1,11,4,65.9872259288835,250,0
1,11,5,5.90585503884494,250,0
1,11,6,19.3981294498486,250,0
1,11,7,14.6775744831685,250,0
1,11,8,13.3682660844873,250,0
1,11,9,20.4247217400423,250,0
1,11,10,33.6556735692426,250,0
1,11,11,50.4914642405332,250,0
1,11,12,0.343240324862357,250,0
1,11,13,17.5375007690054,250,0
1,11,14,21.2145601819074,250,0
1,11,15,98.7347331935743,250,0
1,12,0,3.06037754673285,250,0
1,12,1,16.8536619482917,250,0
1,12,2,15.2668453509127,250,0
1,12,3,32.5425904325386,250,0
1,12,4,39.1392081357408,250,0
1,12,5,28.869787529031,250,0
1,12,6,16.1831945062761,250,0
1,12,7,24.5017049955593,250,0
1,12,8,15.8608911785785,250,0
1,12,9,7.01332933140781,250,0
1,12,10,247.660282766779,250,0
1,12,11,56.4844206592013,250,0
1,12,12,250,250,0
1,12,13,0.730399669511036,250,0
1,12,14,21.9921284285844,250,0
1,12,15,12.8760870642336,250,0
1,13,0,35.08375364085,250,0
1,13,1,1.16620072616389,250,0
1,13,2,16.5782478850882,250,0
1,13,3,8.85559169817655,250,0
1,13,4,78.0152578659479,250,0
1,13,5,15.1807906945807,250,0
1,13,6,13.1667980311808,250,0
1,13,7,25.6974443974137,250,0
1,13,8,35.6273467427822,250,0
1,13,9,6.50157509894318,250,0
1,13,10,59.261879797942,250,0
1,13,11,53.537732918289,250,0
1,13,12,126.315829175328,250,0
1,13,13,8.54425518468225,250,0
1,13,14,41.8781291458233,250,0
1,13,15,18.0525079026019,250,0
1,14,0,0.157881417864947,250,0
1,14,1,16.4713164741328,250,0
1,14,2,12.3635528524743,250,0
1,14,3,8.06594718811946,250,0
1,14,4,5.58400675787051,250,0
1,14,5,82.5899697710293,250,0
1,14,6,20.0648091044864,250,0
1,14,7,30.3224213138095,250,0
1,14,8,14.9291917093598,250,0
1,14,9,7.38609412327224,250,0
1,14,10,40.663382790293,250,0
1,14,11,55.5961369064579,250,0
1,14,12,49.2917132201413,250,0
1,14,13,2.59776760554747,250,0
1,14,14,25.6833661845122,250,0
1,14,15,12.0432561896926,250,0
1,15,0,0.615571996691954,250,0
1,15,1,15.3294399389202,250,0
1,15,2,6.77944783922177,250,0
1,15,3,23.000516098716,250,0
1,15,4,32.056851086998,250,0
1,15,5,27.3560179699271,250,0
1,15,6,15.2828195677732,250,0
1,15,7,0.356738313560242,250,0
1,15,8,43.8021517441169,250,0
1,15,9,5.66343829901999,250,0
1,15,10,53.1850223220905,250,0
1,15,11,68.8820076029135,250,0
1,15,12,11.7069984589795,250,0
1,15,13,22.4511060695751,250,0
1,15,14,44.147305192658,250,0
1,15,15,4.98449320147325,250,0
1,16,0,16.0484853948525,250,0
1,16,1,23.0292587130954,250,0
1,16,2,39.1307391495672,250,0
1,16,3,18.8004681354644,250,0
1,16,4,4.76969798838912,250,0
1,16,5,10.9348432341541,250,0
1,16,6,11.4831076766264,250,0
1,16,7,250,250,0
1,16,8,250,250,0
1,16,9,0.766238251419623,250,0
1,16,10,26.6695264396045,250,0
1,16,11,85.7995037822836,250,0
1,16,12,93.6356767987921,250,0
1,16,13,9.47107628562426,250,0
1,16,14,13.5584633636167,250,0
1,16,15,66.4890186029153,250,0
1,17,0,19.1202950441482,250,0
1,17,1,11.6461385205264,250,0
1,17,2,4.81074421428355,250,0
1,17,3,7.26878546270203,250,0
1,17,4,59.6360597395753,250,0
1,17,5,0.0910950122945038,250,0
1,17,6,2.5661961192042,250,0
1,17,7,94.5021423185061,250,0
1,17,8,54.5505710628768,250,0
1,17,9,15.9042861132769,250,0
1,17,10,31.1361667950137,250,0
1,17,11,90.7867060239168,250,0
1,17,12,250,250,0
1,17,13,12.2568953155378,250,0
1,17,14,21.2087051618276,250,0
1,17,15,0.521671706751197,250,0
1,18,0,24.6688009177019,250,0
1,18,1,32.2509253971491,250,0
1,18,2,16.4810390365268,250,0
1,18,3,0.54609040666693,250,0
1,18,4,122.583924441022,250,0
1,18,5,24.7568488909084,250,0
1,18,6,32.4394467320587,250,0
1,18,7,93.7659324035614,250,0
1,18,8,24.4571397949022,250,0
1,18,9,17.5012106616676,250,0
1,18,10,7.56640130375137,250,0
1,18,11,18.0815949184749,250,0
1,18,12,120.912191835816,250,0
1,18,13,14.6389573938884,250,0
1,18,14,25.0052746049588,250,0
1,18,15,0.157485414441651,250,0
1,19,0,1.05732154825865,250,0
1,19,1,30.2295182396451,250,0
1,19,2,5.32233017683665,250,0
1,19,3,50.238155337555,250,0
1,19,4,1.21923419342539,250,0
1,19,5,14.1622473151006,250,0
1,19,6,13.4864903939372,250,0
1,19,7,24.7275603865747,250,0
1,19,8,15.1722409914455,250,0
1,19,9,2.25057313135878,250,0
1,19,10,17.9061488654839,250,0
1,19,11,51.5783270844417,250,0
1,19,12,7.52112680780589,250,0
1,19,13,13.3352214698595,250,0
1,19,14,57.5625518395883,250,0
1,19,15,51.5893971500146,250,0
1,20,0,28.6848946912339,250,0
1,20,1,31.2194413114222,250,0
1,20,2,12.0728993186633,250,0
1,20,3,22.4743205207329,250,0
1,20,4,31.0772833376435,250,0
1,20,5,0.910175580129581,250,0
1,20,6,13.427643434795,250,0
1,20,7,3.87003637399727,250,0
1,20,8,3.27462666999895,250,0
1,20,9,24.9773832625458,250,0
1,20,10,4.58661750245356,250,0
1,20,11,25.4839502007602,250,0
1,20,12,13.6429406603134,250,0
1,20,13,14.6343768821942,250,0
1,20,14,2.74933374378803,250,0
1,20,15,16.5094351615749,250,0
1,21,0,15.8623307877546,250,0
1,21,1,11.5776553061729,250,0
1,21,2,225.460235816755,250,0
1,21,3,26.5050013676686,250,0
1,21,4,13.8824860384409,250,0
1,21,5,35.7252667523985,250,0
1,21,6,14.5039057725527,250,0
1,21,7,0.509216615006596,250,0
1,21,8,10.4347655300657,250,0
